t,mean_percent_occupancy,mean_waiting_time,vehicle_speed,emissions
0.1,0.0006637638062871709,0.0,0.0,2624.722222222222
0.2,0.0006637638062871709,0.0,0.25114695097366346,2757.0459976059205
0.3,0.0006637638062871709,0.0,0.5031362660040417,2891.9136255941175
0.4,0.0006637638062871709,0.0,0.7294088583149425,2964.4758234652004
0.5,0.0006637638062871709,0.0,0.9443924306506407,3038.4170969262327
0.6,0.0006637638062871709,0.0,1.2030671853373514,3291.188885440716
0.7,0.0006637638062871709,0.0,1.4587673724977728,3424.457121659675
0.8,0.0006637638062871709,0.0,1.6419908661911191,3217.057622726436
0.9,0.0006637638062871709,0.0,1.8328206464806618,3324.983001855121
1.0,0.0006637638062871709,0.0,2.060369520684341,3612.8094427982223
1.1,0.0006637638062871709,0.0,2.24430065720194,3449.087344596564
1.2,0.0006637638062871709,0.0,2.3948918746442853,3299.102239291847
1.3,0.0006637638062871709,0.0,2.6238295248088743,3904.130893802756
1.4,0.0006637638062871709,0.0,2.8711877116661833,4168.184199910712
1.5,0.0006637638062871709,0.0,3.115375140237933,4279.67468696294
1.6,0.0006637638062871709,0.0,3.3531898790303005,4356.565300677268
1.7,0.0006637638062871709,0.0,3.59360616264244,4511.886246580838
1.8,0.0006637638062871709,0.0,3.7643506860670954,3922.949693548469
1.9,0.0006637638062871709,0.0,3.9481184271358276,4126.049427932964
2.0,0.0006637638062871709,0.0,4.157227776808044,4487.004825518679
2.1,0.0006637638062871709,0.0,4.28881691172331,3683.7435895319836
2.2,0.0006637638062871709,0.0,4.453092180845172,4109.461715865568
2.3,0.0006637638062871709,0.0,4.67944318369807,4950.43001928649
2.4,0.0006637638062871709,0.0,4.823637752817787,3994.552055226161
2.5,0.0006637638062871709,0.0,5.000410814598046,4476.332706455877
2.6,0.0006637638062871709,0.0,5.19348098301639,4776.321139033726
2.7,0.0006637638062871709,0.0,5.350713809124037,4348.222830056161
2.8,0.0006637638062871709,0.0,5.5332428773640014,4779.800774289204
2.9,0.0006637638062871709,0.0,5.7269319109696255,5030.544255830828
3.0,0.0006637638062871709,0.0,5.980046633613139,6075.084005900359
3.1,0.0013275276125743417,0.0,3.0894111040401415,7948.943558537561
3.2,0.0013275276125743417,0.0,3.307605325949066,7898.532404795856
3.3,0.0013275276125743417,0.0,3.5085195541443492,7660.367318123197
3.4,0.0013275276125743417,0.0,3.7141485412405713,7899.254443855703
3.5,0.0013275276125743417,0.0,3.916615978460311,7916.882780299587
3.6,0.0013275276125743417,0.0,4.129126598007924,9109.274142734275
3.7,0.0013275276125743417,0.0,4.356441416482203,9435.078305403584
3.8,0.0013275276125743417,0.0,4.533540539578258,8347.604071282709
3.9,0.0013275276125743417,0.0,4.752336545981781,10392.948000868924
4.0,0.0013275276125743417,0.0,4.98996502907474,10477.052573225523
4.1,0.0013275276125743417,0.0,5.198155437225328,10700.283273087794
4.2,0.0013275276125743417,0.0,5.44341851523094,11218.410651398133
4.3,0.0013275276125743417,0.0,5.591657013686552,8940.732322082227
4.4,0.0013275276125743417,0.0,5.745835952489349,9311.824767757053
4.5,0.0013275276125743417,0.0,5.897299213034046,8928.932871995354
4.6,0.0013275276125743417,0.0,6.1233735856455205,11968.825029936415
4.7,0.0013275276125743417,0.0,6.309054996206602,10365.059996205377
4.8,0.0013275276125743417,0.0,6.520721997264252,12253.493261020769
4.9,0.0013275276125743417,0.0,6.750066525783101,12441.640498732868
5.0,0.0013275276125743417,0.0,6.935448697659364,11053.823989134955
5.1,0.0013275276125743417,0.0,7.0886542575160885,9837.856829041724
5.2,0.0013275276125743417,0.0,7.277640405398039,12259.276772858353
5.3,0.0013275276125743417,0.0,7.517281199735066,13572.340966440854
5.4,0.0013275276125743417,0.0,7.675083701833559,10639.553870236577
5.5,0.0013275276125743417,0.0,7.837451340470638,11306.45551963804
5.6,0.0013275276125743417,0.0,8.037654497713724,12770.679895378675
5.7,0.0013275276125743417,0.0,8.232256876549858,12420.58126150387
5.8,0.0013275276125743417,0.0,8.41152183613804,12287.533761259165
5.9,0.0013275276125743417,0.0,8.663748574216793,15606.462661487496
6.0,0.0013275276125743417,0.0,8.873329157061583,14506.128750783111
6.1,0.0019912914188615124,0.0,6.055099097924578,17595.89511489795
6.2,0.0019912914188615124,0.0,6.273087878140193,17390.02798114368
6.3,0.0019912914188615124,0.0,6.483661446131543,16416.733159506985
6.4,0.0019912914188615124,0.0,6.7007760149326,17736.231960618366
6.5,0.0019912914188615124,0.0,6.944834773057764,19770.3413246258
6.6,0.0019912914188615124,0.0,7.146345605884096,17685.091231217288
6.7,0.0019912914188615124,0.0,7.362352647325843,19253.219747208364
6.8,0.0019912914188615124,0.0,7.544852887558682,17122.33513297492
6.9,0.0019912914188615124,0.0,7.727576267025339,16987.86285806478
7.0,0.0019912914188615124,0.0,7.894177619952786,15819.039371586394
7.1,0.0019912914188615124,0.0,8.066954460922537,17698.495011279134
7.2,0.0019912914188615124,0.0,8.229865123203615,17819.93404450431
7.3,0.0019912914188615124,0.0,8.414165801156127,17619.00803369922
7.4,0.0019912914188615124,0.0,8.642527705156368,22578.57532719054
7.5,0.0019912914188615124,0.0,8.775744294865778,12135.780641475892
7.6,0.0019912914188615124,0.0,8.718558736876686,8854.251213606243
7.7,0.0019912914188615124,0.0,8.676777089234461,9203.669246465543
7.8,0.0019912914188615124,0.0,8.653993202514036,10710.00554366978
7.9,0.0019912914188615124,0.0,8.624135821228247,10827.299185117536
8.0,0.0019912914188615124,0.0,8.608943925091863,12278.684621781083
